"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
""	"Samambaias e Licófitas"	"Blechnaceae"	"ESPECIE"	"Salpichlaena volubilis (Kaulf.) J.Sm."	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1319"	"1319"	""	"HDJF"	1077483108	"Sampaio, LCQMP; Garcia, RJF"	"246"	1999	7	2	"Dittrich, VAO"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar-N<fa>cleo Curucutu. Estrada da entrada."	-24.179444	-46.795	1	0	"6"	"2"	""	"199972246"
""	"Samambaias e Licófitas"	"Gleicheniaceae"	"ESPECIE"	"Dicranopteris nervosa (Kaulf.) Maxon"	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1324"	"1324"	""	"HDJF"	1077483114	"Affonso, P; Rafael, A; Silva, EH; Tsuji, TC"	"50"	1997	7	8	"Prado, J"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar-N<fa>cleo Curucutu. Trilha do rio Embu-gua<e7>u. Campo"	0	0	1	0	"2"	"1"	""	"19977850"
""	"Angiopermas"	"Commelinaceae"	"ESPECIE"	"Dichorisandra pubescens Mart. ex Schult. f."	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1322"	"1322"	""	"HDJF"	1077483117	"Affonso, P; Gomes Neto, M; Koga, DJ"	"327"	1999	1	28	""	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar-N<fa>cleo Curucutu. Trilha do Banquinho (bica). Mata Nebular"	-24.179444	-46.795	1	0	"3"	"1"	""	"1999128327"
""	"Samambaias e Licófitas"	"Polypodiaceae"	"ESPECIE"	"Cochlidium serrulatum (Sw.) L.E.Bishop"	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1354"	"1354"	""	"HDJF"	1077483143	"Garcia, RJF; Pirani, JR; Cordeiro, I; Assis, MC"	"1587"	1998	9	19	"Labialkos, P"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar, N<fa>cleo Curucutu. Trilha do campo, cap<e3>o."	0	0	1	0	"5"	"1"	""	"19989191587"
""	"Samambaias e Licófitas"	"Polypodiaceae"	"ESPECIE"	"Cochlidium serrulatum (Sw.) L.E.Bishop"	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1353"	"1353"	""	"HDJF"	1077483148	"Garcia, RJF; Pirani, JR; Cordeiro, I; Assis, MC"	"1587"	1998	9	19	"Labialkos, P"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar, N<fa>cleo Curucutu. Trilha do campo, cap<e3>o."	0	0	1	0	"5"	"2"	""	"19989191587"
""	"Angiopermas"	"Rutaceae"	"ESPECIE"	"Esenbeckia hieronymi Engl."	"NATIVA"	""	NA	"BRA:UCS:HUCS:19488"	"19488"	""	"HUCS"	1077495647	"Ribas, O.S."	"4245"	2002	1	11	"Hatschbach, G."	"Paran<e1>"	"Morro do Ingl<ea>s"	"Serra do Mar"	0	0	1	0	"1"	"1"	""	"20021114245"
""	"Angiopermas"	"Orchidaceae"	"ESPECIE"	"Cattleya loddigesii Lindl."	"NATIVA"	""	NA	"BRA:IF:SPSF:03824"	"03824"	""	"SPSF"	1086873946	"R.A. Guimar<e3>es"	"s/n"	1902	8	30	"C.van den Berg"	"Sp"	"Santos"	"Serra do Mar"	0	0	1	0	"1"	"1"	""	"1902830s/n"
""	"Angiopermas"	"Dichapetalaceae"	"ESPECIE"	"Stephanopodium blanchetianum Baill."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:05245"	"05245"	""	"SPSF"	1086875172	"R.Bertoncello & M.Pansonato"	"s/n"	0	0	0	"W.Prance"	"Sp"	"Ubatuba"	"Parque Est. da Serra do Mar"	0	0	1	0	"1"	"1"	""	"000s/n"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Ocotea bicolor Vattimo-Gil"	"NATIVA"	""	NA	"BRA:IF:SPSF:06102"	"06102"	""	"SPSF"	1086875750	"K.Kubitzki"	"81-11"	1981	2	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"198121181-11"
""	"Angiopermas"	"Lamiaceae"	"ESPECIE"	"Salvia oligantha Dusén"	"NATIVA"	""	NA	"BRA:IF:SPSF:06115"	"06115"	""	"SPSF"	1086875773	"J.B.Baitello"	"0"	1981	2	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"19812110"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Nectandra oppositifolia Nees & Mart."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06105"	"06105"	""	"SPSF"	1086875781	"K.Kubitzki"	"81-12"	1981	2	11	"J.B.Baitello"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"13"	"1"	""	"198121181-12"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Licaria armeniaca (Nees) Kosterm."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06104"	"06104"	""	"SPSF"	1086875784	"K.Kubitzki"	"8110"	1981	2	12	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"5"	"1"	""	"19812128110"
""	"Angiopermas"	"Primulaceae"	"ESPECIE"	"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult."	"NATIVA"	""	NA	"BRA:IF:SPSF:06110"	"06110"	""	"SPSF"	1086875788	"K.Kubitzki"	"8115"	1981	2	12	"A.Maruyama"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"9"	"1"	""	"19812128115"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Ocotea puberula (Rich.) Nees"	"NATIVA"	""	NA	"BRA:IF:SPSF:06106"	"06106"	""	"SPSF"	1086875790	"K.Kubitzki"	"81-17"	1981	2	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"4"	"1"	""	"198121181-17"
""	"Angiopermas"	"Fabaceae"	"ESPECIE"	"Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06113"	"06113"	""	"SPSF"	1086875793	"J.B.Baitello"	"0"	1981	2	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"2"	""	"19812110"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Symphyopappus compressus (Gardner) B.L.Rob."	""	""	NA	"BRA:IF:SPSF:06111"	"06111"	""	"SPSF"	1086875794	"J.B.Baitello"	"0"	1981	2	11	"M.E.Monge"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	0	0	"1"	"3"	""	"19812110"
