"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Bathysa stipulata (Vell.) C.Presl"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28733"	"28733"	""	"SPSF"	1086897591	"I.Cordeiro"	"2317"	2000	9	27	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"13"	"1"	""	"20009272317"
""	"Samambaias e Licófitas"	"Selaginellaceae"	"ESPECIE"	"Selaginella sulcata (Desv. ex Poir.) Spring"	"NATIVA"	""	NA	"BRA:IF:SPSF:28740"	"28740"	""	"SPSF"	1086897592	"F.Pinheiro"	"143"	2000	8	10	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"4"	"1"	""	"2000810143"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Orchidaceae"	"ESPECIE"	"Gomesa uniflora (Booth ex Lindl.) M.W.Chase & N.H.Williams"	""	""	NA	"BRA:IF:SPSF:28736"	"28736"	""	"SPSF"	1086897593	"I.Cordeiro"	"2385"	2000	11	23	"T.Caetano"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"1"	"1"	""	"200011232385"
""	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Chaetogastra clinopodifolia DC."	"NATIVA"	""	NA	"BRA:IF:SPSF:28735"	"28735"	""	"SPSF"	1086897594	"I.Cordeiro"	"2263"	2000	7	7	"A. Maruyama"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"5"	"1"	""	"2000772263"
""	"Angiopermas"	"Rutaceae"	"ESPECIE"	"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28738"	"28738"	""	"SPSF"	1086897595	"I.Cordeiro"	"2346"	2000	9	28	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"20009282346"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Euphorbiaceae"	"ESPECIE"	"Caryodendron grandifolium (Müll.Arg.) Pax"	""	""	NA	"BRA:IF:SPSF:28747"	"28747"	""	"SPSF"	1086897596	"I.Cordeiro"	"2334"	2000	9	27	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"2"	"1"	""	"20009272334"
""	"Angiopermas"	"Lamiaceae"	"ESPECIE"	"Amasonia hirta Benth."	"NATIVA"	""	NA	"BRA:IF:SPSF:28752"	"28752"	""	"SPSF"	1086897597	"I.Cordeiro"	"2355"	2000	9	28	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"20009282355"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Ocotea laxa (Nees) Mez"	"NATIVA"	""	NA	"BRA:IF:SPSF:28723"	"28723"	""	"SPSF"	1086897598	"F.O. Souza"	"80"	2000	7	19	"J.B.Baitello"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"12"	"1"	""	"200071980"
""	"Angiopermas"	"Apocynaceae"	"ESPECIE"	"Malouetia cestroides (Nees ex Mart.) Müll.Arg."	"NATIVA"	""	NA	"BRA:IF:SPSF:28715"	"28715"	""	"SPSF"	1086897599	"F.O. Souza"	"201"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, estrada da Petrobras"	0	0	1	0	"4"	"1"	""	"20001020201"
""	"Angiopermas"	"Sapindaceae"	"ESPECIE"	"Allophylus petiolulatus Radlk."	"NATIVA"	""	NA	"BRA:IF:SPSF:28717"	"28717"	""	"SPSF"	1086897604	"F.O. Souza"	"195"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"13"	"1"	""	"20001020195"
""	"Angiopermas"	"Sabiaceae"	"ESPECIE"	"Meliosma sellowii Urb."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28743"	"28743"	""	"SPSF"	1086897605	"I.Cordeiro"	"2371"	2000	11	21	"E.Ramos"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	-23.586667	-45.436944	1	0	"1"	"1"	""	"200011212371"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Chomelia brasiliana A.Rich."	""	"LC"	NA	"BRA:IF:SPSF:28774"	"28774"	""	"SPSF"	1086897611	"L.Rossi & M.L.Kawasaki & L.Bopp"	"2156"	2000	9	19	"J.A. Pastore"	"Sp"	"Caraguatatuba"	"Parque Estadual da Serra do Mar"	0	0	0	0	"3"	"1"	""	"20009192156"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Eugenia prasina O.Berg"	"NATIVA"	"VU"	NA	"BRA:IF:SPSF:28760"	"28760"	""	"SPSF"	1086897612	"I.Cordeiro et al."	"2275"	2000	8	22	"Osny T. Aguiar"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"9"	"1"	""	"20008222275"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Rudgea jasminoides (Cham.) Müll.Arg."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28746"	"28746"	""	"SPSF"	1086897613	"I.Cordeiro"	"2320"	2000	9	27	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"12"	"1"	""	"20009272320"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper miquelianum C.DC."	"NATIVA"	""	NA	"BRA:IF:SPSF:28732"	"28732"	""	"SPSF"	1086897614	"I.Cordeiro"	"2323"	2000	9	27	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"7"	"1"	""	"20009272323"
""	"Samambaias e Licófitas"	"Aspleniaceae"	"ESPECIE"	"Asplenium serratum L."	"NATIVA"	""	NA	"BRA:IF:SPSF:28762"	"28762"	""	"SPSF"	1086897618	"I.Cordeiro"	"2362"	2000	11	20	"J.A.Pastore"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"2"	"1"	""	"200011202362"
""	"Angiopermas"	"Acanthaceae"	"ESPECIE"	"Aphelandra prismatica (Vell.) Hiern"	"NATIVA"	""	NA	"BRA:IF:SPSF:28739"	"28739"	""	"SPSF"	1086897621	"I.Cordeiro"	"2382"	2000	11	21	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"200011212382"
""	"Angiopermas"	"Primulaceae"	"ESPECIE"	"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult."	"NATIVA"	""	NA	"BRA:IF:SPSF:28745"	"28745"	""	"SPSF"	1086897623	"I.Cordeiro"	"2284"	2000	8	23	"A.Maruyama"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"9"	"1"	""	"20008232284"
""	"Angiopermas"	"Marantaceae"	"ESPECIE"	"Stromanthe tonckat (Aubl.) Eichler"	"NATIVA"	""	NA	"BRA:IF:SPSF:28808"	"28808"	""	"SPSF"	1086897626	"F.O. Souza"	"50"	2000	7	18	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"4"	"1"	""	"200071850"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Ocotea dispersa (Nees & Mart.) Mez"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28742"	"28742"	""	"SPSF"	1086897627	"I.Cordeiro"	"2347"	2000	9	28	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"12"	"1"	""	"20009282347"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia schottiana (Spreng.) Perkins"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28780"	"28780"	""	"SPSF"	1086897628	"F.O. Souza"	"87"	2000	7	20	"E.J.Lirio"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"22"	"1"	""	"200072087"
""	"Angiopermas"	"Orchidaceae"	"ESPECIE"	"Octomeria warmingii Rchb.f."	"NATIVA"	""	NA	"BRA:IF:SPSF:28792"	"28792"	""	"SPSF"	1086897630	"F.O. Souza & L.Rossi & F.Bonfim"	"69"	2000	7	18	"W.Forster"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"200071869"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Ocotea leucoxylon (Sw.) Laness."	"NATIVA"	""	NA	"BRA:IF:SPSF:28764"	"28764"	""	"SPSF"	1086897632	"L.Rossi"	"2165"	2000	9	20	"J.B.Baitello"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"20009202165"
""	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Miconia fasciculata Gardner"	"NATIVA"	""	NA	"BRA:IF:SPSF:28794"	"28794"	""	"SPSF"	1086897634	"F.O. Souza"	"189"	2000	10	20	"R.Goldenberg"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"6"	"1"	""	"20001020189"
""	"Angiopermas"	"Poaceae"	"ESPECIE"	"Chusquea bambusoides (Raddi) Hack."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28807"	"28807"	""	"SPSF"	1086897635	"F.O. Souza"	"24"	2000	7	17	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"200071724"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Chomelia brasiliana A.Rich."	""	"LC"	NA	"BRA:IF:SPSF:28781"	"28781"	""	"SPSF"	1086897639	"R.S.Bianchini & S.Bianchini & R.P.G.Ros<e1>rio"	"1433"	2000	9	8	"J.A.Pastore"	"Sp"	"Caraguatatuba"	"Parque Estadual da Serra do Mar"	0	0	0	0	"3"	"1"	""	"2000981433"
""	"Angiopermas"	"Aristolochiaceae"	"ESPECIE"	"Aristolochia arcuata Mast."	"NATIVA"	""	NA	"BRA:IF:SPSF:28756"	"28756"	""	"SPSF"	1086897640	"F.Pinheiro & G.L.Esteves & M.Sugiyama & R.S.Bianchini & F.Bonfim & F.O.Souza & L.T.Bopp"	"152"	2000	8	11	"W.Thomas"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"2000811152"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Poaceae"	"ESPECIE"	"Rugoloa pilosa (Sw.) Zuloaga"	""	""	NA	"BRA:IF:SPSF:28805"	"28805"	""	"SPSF"	1086897641	"F.O. Souza"	"188"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"4"	"1"	""	"20001020188"
""	"Angiopermas"	"Poaceae"	"ESPECIE"	"Chusquea bambusoides (Raddi) Hack."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28806"	"28806"	""	"SPSF"	1086897642	"F.O. Souza"	"37"	2000	7	18	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"200071837"
""	"Angiopermas"	"Juncaceae"	"ESPECIE"	"Juncus microcephalus Kunth"	"NATIVA"	""	NA	"BRA:IF:SPSF:28803"	"28803"	""	"SPSF"	1086897649	"F.O. Souza"	"184"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"20001020184"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Hoffmannia peckii K.Schum."	""	""	NA	"BRA:IF:SPSF:28801"	"28801"	""	"SPSF"	1086897651	"F.O. Souza"	"180"	2000	8	11	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"2"	"1"	""	"2000811180"
""	"Angiopermas"	"Poaceae"	"ESPECIE"	"Paspalum corcovadense Raddi"	"NATIVA"	""	NA	"BRA:IF:SPSF:28804"	"28804"	""	"SPSF"	1086897653	"F.O. Souza"	"199"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"7"	"1"	""	"20001020199"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper regnellii (Miq.) C.DC."	"NATIVA"	""	NA	"BRA:IF:SPSF:28802"	"28802"	""	"SPSF"	1086897654	"F.O. Souza"	"66"	2000	7	18	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"4"	"1"	""	"200071866"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Critoniopsis quinqueflora (Less.) H.Rob."	"NATIVA"	""	NA	"BRA:IF:SPSF:28811"	"28811"	""	"SPSF"	1086897662	"F.O. Souza"	"149"	2000	8	9	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"16"	"1"	""	"200089149"
""	"Angiopermas"	"Griseliniaceae"	"ESPECIE"	"Griselinia ruscifolia (Clos) Ball"	"NATIVA"	""	NA	"BRA:IF:SPSF:28809"	"28809"	""	"SPSF"	1086897663	"F.O. Souza"	"124"	2000	7	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"2000720124"
""	"Angiopermas"	"Clusiaceae"	"ESPECIE"	"Tovomitopsis paniculata (Spreng.) Planch. & Triana"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28816"	"28816"	""	"SPSF"	1086897664	"F.O. Souza"	"200"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"2"	"1"	""	"20001020200"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Bathysa stipulata (Vell.) C.Presl"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28825"	"28825"	""	"SPSF"	1086897665	"F.O. Souza"	"187"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"13"	"1"	""	"20001020187"
""	"Angiopermas"	"Clusiaceae"	"ESPECIE"	"Clusia criuva Cambess."	"NATIVA"	""	NA	"BRA:IF:SPSF:28817"	"28817"	""	"SPSF"	1086897666	"F.O. Souza"	"128"	2000	7	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"18"	"1"	""	"2000720128"
""	"Angiopermas"	"Commelinaceae"	"ESPECIE"	"Tradescantia zanonia (L.) Sw."	"NATIVA"	""	NA	"BRA:IF:SPSF:28823"	"28823"	""	"SPSF"	1086897667	"F.O. Souza"	"10"	2000	7	17	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"200071710"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Dasyanthina serrata (Less.) H.Rob."	"NATIVA"	""	NA	"BRA:IF:SPSF:28810"	"28810"	""	"SPSF"	1086897668	"F.O. Souza & L.Rossi & F.Bonfim"	"46"	2000	7	18	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"2"	"1"	""	"200071846"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Coccocypselum geophiloides Wawra"	""	""	NA	"BRA:IF:SPSF:28824"	"28824"	""	"SPSF"	1086897669	"F.O. Souza"	"104"	2000	7	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"4"	"1"	""	"2000720104"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Eugenia prasina O.Berg"	"NATIVA"	"VU"	NA	"BRA:IF:SPSF:28761"	"28761"	""	"SPSF"	1086897670	"I.Cordeiro"	"2390"	2000	11	23	"F.F.Mazine"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"9"	"1"	""	"200011232390"
""	"Angiopermas"	"Passifloraceae"	"ESPECIE"	"Passiflora edulis Sims"	"NATIVA"	""	NA	"BRA:IF:SPSF:28814"	"28814"	""	"SPSF"	1086897671	"F.O. Souza"	"202"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, estrada da Petrobras"	0	0	1	0	"5"	"1"	""	"20001020202"
""	"Angiopermas"	"Sapotaceae"	"ESPECIE"	"Chrysophyllum inornatum Mart."	"NATIVA"	""	NA	"BRA:IF:SPSF:28861"	"28861"	""	"SPSF"	1086897673	"I.Cordeiro"	"2375"	2000	11	21	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"6"	"1"	""	"200011212375"
""	"Angiopermas"	"Chloranthaceae"	"ESPECIE"	"Hedyosmum brasiliense Mart. ex Miq."	"NATIVA"	""	NA	"BRA:IF:SPSF:28842"	"28842"	""	"SPSF"	1086897676	"R.S.Bianchini"	"1459"	2000	9	9	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"24"	"1"	""	"2000991459"
""	"Angiopermas"	"Ochnaceae"	"ESPECIE"	"Sauvagesia erecta L."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28812"	"28812"	""	"SPSF"	1086897677	"F.O. Souza"	"197"	2000	10	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"2"	"1"	""	"20001020197"
""	"Angiopermas"	"Gesneriaceae"	"ESPECIE"	"Nematanthus fissus (Vell.) L.E.Skog"	"NATIVA"	""	NA	"BRA:IF:SPSF:28846"	"28846"	""	"SPSF"	1086897680	"R.S.Bianchini"	"1434"	2000	9	8	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"2"	"1"	""	"2000981434"
""	"Angiopermas"	"Iridaceae"	"ESPECIE"	"Neomarica caerulea (Ker Gawl.) Sprague"	"NATIVA"	""	NA	"BRA:IF:SPSF:28836"	"28836"	""	"SPSF"	1086897681	"R.S.Bianchini"	"1405"	2000	9	7	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"2000971405"
""	"Angiopermas"	"Clusiaceae"	"ESPECIE"	"Clusia criuva Cambess."	"NATIVA"	""	NA	"BRA:IF:SPSF:28818"	"28818"	""	"SPSF"	1086897682	"F.O. Souza"	"148"	2000	8	9	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"18"	"1"	""	"200089148"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper anisum (Spreng.) Angely"	""	""	NA	"BRA:IF:SPSF:28854"	"28854"	""	"SPSF"	1086897684	"R.S.Bianchini"	"1470"	2000	9	10	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"1"	"1"	""	"20009101470"
""	"Angiopermas"	"Marantaceae"	"ESPECIE"	"Stromanthe tonckat (Aubl.) Eichler"	"NATIVA"	""	NA	"BRA:IF:SPSF:28839"	"28839"	""	"SPSF"	1086897685	"R.S.Bianchini"	"1425"	2000	9	8	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"4"	"1"	""	"2000981425"
""	"Angiopermas"	"Begoniaceae"	"ESPECIE"	"Begonia fruticosa (Klotzsch) A.DC."	"NATIVA"	""	NA	"BRA:IF:SPSF:28822"	"28822"	""	"SPSF"	1086897687	"F.O. Souza"	"90"	2000	7	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"10"	"1"	""	"200072090"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Mikania trinervis Hook. & Arn."	"NATIVA"	""	NA	"BRA:IF:SPSF:28820"	"28820"	""	"SPSF"	1086897688	"F.O. Souza"	"156"	2000	8	9	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"11"	"1"	""	"200089156"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Campomanesia guaviroba (DC.) Kiaersk."	"NATIVA"	""	NA	"BRA:IF:SPSF:28855"	"28855"	""	"SPSF"	1086897689	"G.L.Esteves"	"2729"	2000	8	10	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"5"	"1"	""	"20008102729"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Poaceae"	"ESPECIE"	"Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira"	""	""	NA	"BRA:IF:SPSF:28838"	"28838"	""	"SPSF"	1086897690	"R.S.Bianchini"	"1409"	2000	9	7	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"1"	"1"	""	"2000971409"
""	"Samambaias e Licófitas"	"Pteridaceae"	"ESPECIE"	"Vittaria scabrida Klotzsch ex Fée"	"NATIVA"	""	NA	"BRA:IF:SPSF:28850"	"28850"	""	"SPSF"	1086897692	"R.S.Bianchini"	"1476"	2000	9	10	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"20009101476"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Polygalaceae"	"ESPECIE"	"Caamembeca spectabilis (DC.) J.F.B.Pastore"	""	""	NA	"BRA:IF:SPSF:28852"	"28852"	""	"SPSF"	1086897695	"R.S.Bianchini"	"1462"	2000	9	9	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"3"	"1"	""	"2000991462"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Nyctaginaceae"	"ESPECIE"	"Neea pendulina Heimerl"	""	""	NA	"BRA:IF:SPSF:28845"	"28845"	""	"SPSF"	1086897696	"R.S.Bianchini"	"1399"	2000	9	7	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"3"	"1"	""	"2000971399"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia splendens (Sw.) DC."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28884"	"28884"	""	"SPSF"	1086897697	"L.Rossi"	"2171"	2000	9	20	"O.T.Aguiar"	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"17"	"1"	""	"20009202171"
""	"Angiopermas"	"Begoniaceae"	"ESPECIE"	"Begonia itatinensis Irmsch. ex Brade"	"NATIVA"	""	NA	"BRA:IF:SPSF:28821"	"28821"	""	"SPSF"	1086897698	"F.O. Souza"	"36"	2000	7	18	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"3"	"1"	""	"200071836"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Psychotria fluminensis Vell."	""	"VU"	NA	"BRA:IF:SPSF:28860"	"28860"	""	"SPSF"	1086897699	"I.Cordeiro"	"2384"	2000	11	22	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	0	0	"26"	"1"	""	"200011222384"
""	"Angiopermas"	"Gesneriaceae"	"ESPECIE"	"Nematanthus gregarius D.L.Denham"	"NATIVA"	""	NA	"BRA:IF:SPSF:28815"	"28815"	""	"SPSF"	1086897700	"F.O. Souza"	"121"	2000	7	20	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	1	"1"	"1"	""	"2000720121"
""	"Angiopermas"	"Acanthaceae"	"ESPECIE"	"Herpetacanthus rubiginosus Nees"	"NATIVA"	""	NA	"BRA:IF:SPSF:28870"	"28870"	""	"SPSF"	1086897701	"I.Cordeiro"	"2332"	2000	9	27	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"1"	"1"	""	"20009272332"
""	"Angiopermas"	"Ochnaceae"	"ESPECIE"	"Ouratea parviflora (A.DC.) Baill."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:28844"	"28844"	""	"SPSF"	1086897702	"R.S.Bianchini"	"1473"	2000	9	10	""	"Sp"	"Caraguatatuba"	"P.E.Serra do Mar, N<fa>cleo Caraguatatuba"	0	0	1	0	"11"	"1"	""	"20009101473"
